懑	懣
懒	懶
戋	戔
戏	戲
戗	戧
战	戰
戛	戞
截	巀
戬	戩
戮	剹
扇	搧
扎	紥
扑	撲
扛	摃
执	執
扩	攗
扪	捫
扫	掃
扬	損
扯	撦
扰	擾
扼	搤
折	摺
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
抬	攅
抻	捵
担	擔
拐	枴
拖	拕
拟	儗
拢	攏
拣	揀
拥	擁
拦	攔
拧	攓
拨	撥
择	擇
挂	掛
挛	攣
挝	撾
挞	撻
挟	挾
挠	撓
挡	擋
挢	撟
挤	攄
挥	揮
挲	挱
挽	輓
捂	摀
捆	綑
捍	抜
捏	搃
捞	撈
损	損
捡	撿
捣	搗
据	據
捶	搥
掳	擄
掴	摑
掷	攕
掸	撣
掺	摻
掼	摜
插	挿
揪	揫
揸	摣
揽	攬
揿	撳
搀	攙
搁	攔
搂	摟
搅	撹
携	攜
摄	攝
摅	攄
摆	擺
摈	攑
摊	攤
摛	攡
摭	拓
撄	攖
撑	橕
撵	攆
撷	攛
撸	擼
撺	攛
擂	祑
操	撡
擞	擻
攒	攅
收	収
效	俲
敌	敵
救	捄
敕	勅
敛	斂
数	數
斋	斎
斓	斕
斗	魕
斩	斬
断	斷
旋	鏇
无	無
旧	舊
时	時
旷	曠
昏	昬
昙	曇
映	暎
春	萵
昫	暘
昭	炤
昵	暱
昼	晝
显	顯
晋	晉
晒	曬
晓	暁
晔	曄
晕	暈
晖	暉
晰	晳
暂	暫
暖	煖
暧	曖
曦	爋
曲	黡
望	杛
术	術
朵	朶
机	檆
杀	殺
杂	雜
权	権
村	邨
杠	槓
条	條
来	來
杨	楊
杩	榪
杭	斻
杯	梘
杰	傑
松	鬆
极	榦
构	構
枞	樅
枢	樞
枣	棗
枥	櫪
枧	梘
枨	棖
枪	槍
枫	楓
枭	梟
柏	栢
柜	匮
柠	檸
柳	梡
柽	檉
柿	柹
栀	梔
标	標
栈	棧
栉	櫛
栊	櫳
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
栖	棲
样	様
栾	欒
桌	棹
桠	椏
桡	橈
桢	榚
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
梁	樑
梅	榤
梦	夢
梨	棃
梼	檮
检	撿
棕	椶
棰	箠
棹	櫂
椁	槨
椟	櫝
椠	槧
椤	欏
楂	樝
楠	枏
楦	榗
楼	樓
概	槩
榄	欖
榇	櫬
榉	櫸
槁	槀
槛	檻
槟	檳
槠	櫧
樯	檣
樱	櫻
樽	罇
橛	橜
橹	櫓
橼	櫞
檐	簷
欢	歡
欣	俽
欤	歟
欧	畉
欲	慾
款	歟
歌	謌
歼	殲
殇	殤
残	殘
殒	殞
殓	殮
殚	殫
殡	殯
殴	毆
毂	轂
毕	畢
毙	斃
毡	氊
毵	毿
氇	氌
气	氣
氛	雰
氢	氫
氩	氬
求	裘
汇	卹
汞	鋟
污	汙
汤	湯
汹	洶
沟	溝
沣	灃
沤	漚
沥	瀝
沦	渟
沧	滄
沨	渢
沩	溈
沪	滬
沱	沲
泄	洩
泇	澐
法	灋
泞	濘
泪	涙
泶	澩
泷	瀧
泸	瀘
泺	瀟
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洒	灑
浃	浹
浅	淺
浆	漿
浇	澆
浈	湞
浊	濁
测	測
浍	澮
济	濟
浏	瀏
浐	漣
浑	渾
浒	漡
浓	濃
浔	潯
浚	瀎
浣	澣
涅	簈
涌	湧
涛	濤
涝	澇
涞	渮
涟	漣
涠	潿
涡	濄
涤	滌
润	潤
涧	澗
涨	漲
涩	澀
淫	滛
淳	湻
渊	測
渍	漬
渎	瀆
渐	漸
渔	漮
渗	漛
湾	灣
湿	濕
溃	潰
溅	瀝
溪	嵠
溯	泝
滞	滯
滟	灔
滠	灄
满	漨
滢	瀅
滥	瀍
滦	灤
滨	瀒
滩	灘
漓	灕
漱	潄
潆	瀠
潇	瀟
潋	瀲
潍	瀐
潜	潛
潸	澘
澄	澂
澜	瀾
濑	瀨
濒	瀕
灏	灝
灭	滅
灯	燈
灵	靈
灶	竈
灾	災
灿	爊
炀	煬
炉	爐
炖	燉
炜	煒
炝	熗
炯	焝
炸	煠
点	點
炼	煉
炽	熾
烁	爍
烂	爛
烃	焠
烛	爐
烟	煙
烦	煩
烧	燒
烨	燁
烩	爖
烫	燾
烬	燼
热	熱
焊	鋓
焖	爁
焘	燾
焰	燄
照	炤
煮	煑
煽	傓
熔	鎔
熙	熈
熹	熺
燮	爕
爱	愛
爷	爺
牍	牘
牦	犛
牵	牽
牺	犧
犁	犂
犊	犢
状	狀
犷	玡
犸	獁
犹	猶
狈	猲
狞	獰
独	獨
狭	猰
狮	獅
狯	獪
狱	獄
狲	猻
狷	獧
猃	獫
猎	玞
猕	玧
猡	玬
猫	貓
猬	蝟
献	玦
猱	玪
猿	猨
獐	麞
獭	玥
獾	貛
玑	璣
玙	璵
玚	瑒
玛	瑪
玮	瑋
环	環
现	琭
玺	璽
珍	珎
珏	玨
珐	琺
珑	瓏
珲	琿
琅	瑯
琉	瑠
琏	璱
琐	瑣
琪	璬
琴	琹
琼	瓊
琿	璡
瑰	瓌
瑷	璦
璃	琾
璇	璿
璎	瓔
瓒	瓚
瓮	罋
瓯	畉
瓶	缾
瓷	畁
甜	甛
电	電
画	畫
畅	暢
留	畱
略	畧
畴	疇
疆	畺
疏	痚
疖	皒
疗	療
疟	瘧
疠	皁
疡	瘍
疣	胾
疬	癧
疮	瘡
疯	瘋
疱	皰
症	皔
痈	癰
痉	痙
痒	皐
痨	癮
痫	癰
痴	皏
瘅	癲
瘘	瘻
瘤	癅
瘪	皌
瘫	癱
瘾	癮
瘿	癭
癞	癩
癣	癬
癫	癲
皂	皁
皋	皐
皑	皚
皱	皺
皲	皸
盍	盿
盏	眐
盐	鹽
监	眔
盖	蓋
盘	眕
眍	瞘
眠	瞑
眦	眥
眯	瞇
眷	瞔
睐	瞐
睑	瞼
睬	倸
睹	觛
睿	叡
瞅	矁
瞒	瞞
瞠	瞪
瞩	矚
矩	榘
矫	砪
矶	磯
矾	礬
矿	祐
砀	磝
码	碼
砖	磚
砗	硨
砚	硯
砜	碸
砣	砤
砧	磚
砬	磖
砺	祕
砻	礱
砾	礫
础	礱
硕	磘
硖	硤
硗	磽
确	確
碇	砱
碍	祂
碛	磧
碜	磣
碱	鹹
磷	燐
礼	秠
祃	秏
祎	禸
祗	祇
祢	禰
祯	禎
祷	禱
祸	禍
禅	秛
离	離
秆	稈
秋	秌
种	穘
秕	粃
称	穛
秸	穖
秽	穢
稃	粰
稗	粺
稚	穉
稣	穌
稳	穩
稿	穢
穑	穡
穷	竑
窃	竊
窍	竅
窑	竒
窗	窓
窜	竮
窝	竎
窥	竡
窦	竇
窭	竚
竖	竪
竞	競
笃	簐
笋	箂
笔	筽
笕	筧
笺	箋
笼	籠
笾	籩
筅	箲
筏	栰
筑	篵
筒	筩
策	箊
筘	窛
筚	篳
筛	簓
筲	蕱
筹	籭
签	簽
简	簡
箦	簀
箨	粁
箩	籮
箪	簞
箫	簫
箬	蒻
箸	筯
篅	圌
篑	簣
篓	簍
篪	竾
篮	籃
篱	籬
簖	籪
簪	簮
籁	籟
籴	糴
类	類
籼	秈
粗	麤
粜	糶
粝	糲
粪	約
粮	紌
粳	粇
粽	糵
糁	紃
糇	餱
糍	餈
糕	餻
糖	鎕
糜	蘪
糠	穅
糨	紅
糯	穤
系	繋
紧	緊
累	纍
絷	縶
綦	緇
纠	糾
纡	紆
红	紅
纣	紂
纤	縴
纥	紇
约	約
级	級
纨	紈
纩	纊
纪	紀
纫	紉
纬	緯
纭	紜
纯	純
纱	紗
纲	緑
纳	納
纵	縱
纶	綸
纷	紛
纸	紙
纹	紋
纺	紡
纽	紐
纾	紓
线	緌
绀	絚
绁	紲
绂	紱
练	練
组	絤
绅	紳
细	細
织	織
终	絢
绉	縰
绊	給
绋	絜
绌	絠
绍	絙
绎	繹
经	經
绐	絟
绑	綁
绒	絨
结	統
绔	絝
绕	繞
绗	絯
绘	纋
给	給
绚	絢
绛	絳
绝	絶
绞	絞
统	統
绡	綃
绢	絹
绣	綉
绥	綏
绦	縧
继	繼
绨	綈
绩	績
绪	緒
绫	綾
续	續
绮	綺
绯	緋
绰	綽
绱	緔
绳	纊
维	緎
绵	綿
绶	緍
绷	緓
绸	緄
绺	綹
绻	緅
综	綾
绽	綻
绾	緐
绿	緑
缀	緔
缁	緇
缂	緙
缃	緗
缅	緬
缆	纜
缇	緹
缈	緲
缉	緝
缊	縜
缋	纃
缌	緦
缎	緞
缏	緶
缐	線
缑	緱
缒	縫
缓	緩
缔	締
缕	縷
编	編
缗	緡
缘	緣
缙	縩
缚	縛
缛	縟
缜	縝
缝	縫
缠	纏
缡	縭
缢	縪
缣	縱
缤	繽
缥	縹
缦	縵
缧	縲
缨	纓
缩	縮
缪	繆
缫	繅
缬	纈
缭	繚
缮	繕
缯	繒
缰	纏
缱	繾
缲	纑
缳	纐
缴	纔
缵	纘
罂	罌
罐	鏆
网	緒
罗	羅
罚	羛
罢	羣
罪	辠
罴	羆
羁	羈
羌	羗
羟	羥
群	羣
翅	翄
翘	耼
翻	飜
耀	燿
耔	秄
耕	畊
耢	耮
耧	耬
耨	槈
耸	聳
耻	恥
聂	聶
聃	耼
聋	聾
职	職
聍	聹
联	聯
聩	聵
聪	聰
肃	胏
肇	胐
肛	痠
肠	腸
肤	膚
肮	骯
肯	胓
肴	餻
肾	膇
肿	腫
胀	脹
胁	脅
胆	膽
胚	胹
胜	勝
胧	杤
胨	膌
胪	舊
胫	脛
胭	舉
胶	膠
胸	胷
脍	膾
脏	舓
脐	臍
脑	膞
脓	膿
脔	舕
脶	膖
脸	臉
腊	興
腭	齶
腮	顋
腻	膩
腼	靦
腾	騰
膀	髈
膑	臏
膘	臿
膳	饍
