暈	晕
暉	晖
暎	映
暘	昫
暢	畅
暫	暂
暱	昵
曄	晔
曇	昙
曖	暧
曠	旷
曡	叠
曬	晒
書	书
會	会
朶	朵
杇	圬
杛	望
杤	胧
東	东
枏	楠
枴	拐
柁	舵
柹	柿
栢	柏
栰	筏
梔	栀
梘	杯枧
條	条
梟	枭
梡	柳
棃	梨
棄	弃
棖	枨
棗	枣
棟	栋
棧	栈
棲	栖
棹	桌
椏	桠
椶	棕
楊	杨
楓	枫
榗	楦
榘	矩
榚	桢
榠	业
榤	梅
榦	极
榪	杩
榮	荣
榿	桤
槀	槁
槈	耨
構	构
槍	枪
槓	杠
様	样
槧	椠
槨	椁
槩	概
槳	桨
樁	桩
樂	乐
樅	枞
樑	梁
樓	楼
標	标
樝	楂
樞	枢
権	权
樹	树
樺	桦
橈	桡
橋	桥
橕	撑
橜	橛
檆	机
檉	柽
檔	档
檜	桧
檣	樯
檮	梼
檳	槟
檸	柠
檻	槛
檾	苘
櫂	棹
櫈	凳
櫓	橹
櫛	栉
櫝	椟
櫞	橼
櫟	栎
櫧	槠
櫨	栌
櫪	枥
櫬	榇
櫱	蘖
櫳	栊
櫸	榉
櫻	樱
欄	栏
欏	椤
欒	栾
欖	榄
歟	款欤
歡	欢
歫	钦
歲	岁
歷	历
歸	归
殘	残
殞	殒
殤	殇
殫	殚
殭	僵
殮	殓
殯	殡
殲	歼
殺	杀
殻	壳
毆	殴
毿	毵
氊	毡
氌	氇
氣	气
氫	氢
氬	氩
汙	污
沲	沱
況	况
泎	冱
泝	溯
洩	泄
洶	汹
浹	浃
涇	泾
涖	莅
涙	泪
淺	浅
渄	凄
渟	沦
渢	沨
測	测渊
渮	涞
渾	浑
湞	浈
湧	涌
湯	汤
湻	淳
溈	沩
溝	沟
滄	沧
滅	灭
滌	涤
滎	荥
滛	淫
滬	沪
滯	滞
漚	沤
漛	渗
漟	卤
漡	浒
漣	浐涟
漨	满
漬	渍
漮	渔
漲	涨
漸	渐
漿	浆
潄	漱
潑	泼
潔	洁
潛	潜
潤	润
潯	浔
潰	溃
潿	涠
澀	涩
澂	澄
澆	浇
澇	涝
澐	泇
澗	涧
澘	潸
澣	浣
澤	泽
澩	泶
澮	浍
濁	浊
濃	浓
濄	涡
濕	湿
濘	泞
濟	济
濤	涛
瀅	滢
瀆	渎
瀉	泻
瀍	滥
瀎	浚
瀏	浏
瀐	潍
瀒	滨
瀕	濒
瀘	泸
瀝	溅沥
瀟	泺潇
瀠	潆
瀧	泷
瀨	濑
瀲	潋
瀾	澜
灃	沣
灄	滠
灋	法
灑	洒
灔	滟
灕	漓
灘	滩
灝	灏
灣	湾
灤	滦
災	灾
炤	照昭
為	为
烏	乌
焝	炯
焠	烃
無	无
煉	炼
煑	煮
煒	炜
煖	暖
煙	烟
煠	炸
煢	茕
煩	烦
煬	炀
熈	熙
熒	荧
熗	炝
熱	热
熺	熹
熾	炽
燁	烨
燄	焰
燈	灯
燉	炖
燐	磷
燒	烧
燼	烬
燾	烫焘
燿	耀
爁	焖
爄	营
爊	灿
爋	曦
爍	烁
爐	炉烛
爕	燮
爖	烩
爛	烂
爭	争
爺	爷
爾	尔
牀	床
牘	牍
牽	牵
犂	犁
犖	荦
犛	牦
犢	犊
犧	牺
狀	状
猨	猿
猰	狭
猲	狈
猶	犹
猺	悍
猻	狲
獁	犸
獃	呆
獄	狱
獅	狮
獧	狷
獨	独
獪	狯
獫	猃
獰	狞
獲	获
玞	猎
玡	犷
玣	兽
玥	獭
玦	献
玧	猕
玨	珏
玪	猱
玬	猡
玵	妙
珎	珍
珪	圭
珮	佩
琭	现
琹	琴
琺	珐
琾	璃
琿	珲
瑋	玮
瑒	玚
瑠	琉
瑣	琐
瑩	莹
瑪	玛
瑯	琅
璡	琿
璣	玑
璦	瑷
璬	琪
環	环
璱	琏
璵	玙
璽	玺
璿	璇
瓊	琼
瓌	瑰
瓏	珑
瓔	璎
瓚	瓒
甛	甜
産	产
畁	瓷
畉	欧瓯
畊	耕
畝	亩
畢	毕
畧	略
畫	画
異	异
畱	留
當	当
畺	疆
疇	畴
痙	痉
痚	疏
痠	肛
瘉	愈
瘋	疯
瘍	疡
瘡	疮
瘧	疟
瘻	瘘
療	疗
癅	瘤
癧	疬
癩	癞
癬	癣
癭	瘿
癮	痨瘾
癰	痫痈
癱	瘫
癲	瘅癫
發	发
皁	疠皂
皃	貌
皌	瘪
