FIFA世界杯	世足
瀛台	瀛臺
火并	火併
火锅盖帽	蓋火鍋
灯台	燈臺
灰蒙	灰濛
灵台	靈臺
炉台	爐臺
炒面	炒麵
炮制	炮製
炸药	炸葯
炸酱面	炸醬麵
点击	點選
点卡	儲值卡
炼制	煉製
烘制	烘製
烛台	燭臺
烟卷儿	煙卷兒
烟台	煙臺
烟斗	煙斗
烟斗丝	煙斗絲
烫发	燙髮
烫面	燙麵
烽火台	烽火臺
照准	照准
熨斗	熨斗
燃气灶	瓦斯爐
燎发	燎髮
爽荡	爽蕩
片言只语	片言隻語
牛只	牛隻
牛肉面	牛肉麵
牵系	牽繫
特准	特准
特制	特製
特征	特征
特朗普	川普
特立尼达和托巴哥	千里達托貝哥
特里	特裡
犬只	狗隻
狄安娜	黛安娜
狮子山	獅子山
狼借	狼藉
猛冲	猛衝
猫和老鼠	湯姆貓咊傑利鼠
獃里獃气	呆裡呆氣
率团参加	率團參加
王侯后	王侯后
王后	王后
珍妮弗·卡普里亚蒂	卡佩雅蒂
班主任	班導
班里	班裡
理发	理髮
瑙鲁	諾魯
瑶台	瑤臺
瓦努阿图	萬那杜
甚么	甚麼
甜面酱	甜麵醬
生力面	生力麵
生化危机	古堡惡靈
生发	生髮
生锈	生鏽
田里	田裡
由馀	由余
电冲	電衝
电台	電臺
电复	電覆
电子表	電子錶
电表	電錶
电视台	電視臺
男佣	男佣
男用表	男用錶
留发	留髮
畚斗	畚斗
番石榴	芭樂
疏松	疏鬆
疲困	疲睏
病症	病癥
症候	癥候
症状	癥狀
症结	癥結
登台	登臺
登录	登入
白卷	白卷
白发	白髮
白干儿	白干兒
白面	白麵
百分之十	十趴
百只	百隻
百里	百裡
皇历	皇曆
皇后	皇后
皓发	皓髮
皮制	皮製
皮里春秋	皮裡春秋
皮里阳秋	皮裏陽秋
皱折	皺摺
盐卤	鹽鹵
监制	監製
盒里	盒裡
盒饭	便當
盖帽	蓋火鍋
盘他	k他
盘回	盤迴
盘片	碟片
盘里	盤裡
直冲	直衝
直接参与	直接參与
相克	相剋
相冲	相衝
相干	相干
看台	看臺
眼帘	眼帘
眼眶里	眼眶裡
眼里	眼裡
着书立说	著書立說
着儿	著兒
着录	著錄
着录规则	著錄規則
着色软体	著色軟體
着重指出	著重指出
睡着了	睡著了
短信	簡訊
短发	短髮
石英表	石英錶
研制	研製
砚台	硯臺
砰当	砰噹
砲台	砲臺
硅片	矽片
硅谷	矽谷
硬件	硬體
硬干	硬幹
硬盘	硬碟
碑志	碑誌
磁制	磁製
磁盘	磁碟
磁道	磁軌
磨制	磨製
示复	示覆
社里	社裡
神采	神采
禀复	稟覆
秀发	秀髮
私下里	私下裡
秃发	禿髮
秋千	鞦韆
秋天里	秋天裡
秋裤	秋褲
科摩罗	葛摩
科特迪瓦	象牙海岸
科特迪瓦	象牙海灣
秒表	秒錶
积分	紅利點數
积极参与	積极參与
积极参加	積极參加
移动电话	行動電話
稀松	稀鬆
程控	程式控制
稻谷	稻穀
稽征	稽征
穷追不舍	窮追不捨
空荡	空蕩
穿梭机	太空梭
突尼斯	突尼西亞
窗台	窗臺
窗帘	窗帘
窗明几净	窗明几淨
窝里	窩裡
窝阔台	窩闊臺
竖着	豎著
端口	埠
笆斗	笆斗
笑星	谐星
笑里藏刀	笑裡藏刀
第一卷	第一卷
等于	等於
筋斗	筋斗
答卷	答卷
答复	答覆
筵几	筵几
签着	簽著
箕斗	箕斗
算子	運算元
算法	演算法
粒入球	顆進球
粗制	粗製
粗卤	粗鹵
精制	精製
精干	精幹
精明强干	精明強幹
精灵宝可梦	神奇寶貝
精致	精緻
精辟	精辟
精采	精采
糊里糊涂	糊裡糊塗
系上	繫上
系为	係為
系于	繫於
系到	繫到
系囚	繫囚
系心	繫心
系念	繫念
系怀	繫懷
系数	繫數
系着	繫著
系系	繫系
系紧	繫緊
系绳	繫繩
系辞	繫辭
素面	素麵
素食面	素食麵
索马里	索馬利亞
紧绷	緊繃
紧绷着	緊繃著
紧追不舍	緊追不捨
紫微斗数	紫微斗數
累囚	纍囚
累累	纍纍
綑吊	綑吊
繁复	繁複
纡回	紆迴
红发	紅髮
红霉素	紅黴素
纤夫	縴夫
纪历	紀曆
纪律委员	風紀股長
纳采	納采
组里	組裡
组长	股長
细致	細緻
经卷	經卷
结发	結髮
绘制	繪製
给跪了	ORZ
绝对参照	絕對參照
维系	維繫
绷住	繃住
绷子	繃子
绷带	繃帶
绷开	繃開
绷着	繃著
绷着脸	繃著臉
绷着脸儿	繃著臉兒
绷紧	繃緊
绷脸	繃臉
绾发	綰髮
绿霉素	綠黴素
缓冲	緩衝
编制	編製
编发	編髮
缝制	縫製
缝里	縫裡
缴卷	繳卷
缺省	預設
网络	網路
网里	網裡
美制	美製
美发	美髮
翻云复雨	翻雲覆雨
翻复	翻覆
翻天复地	翻天覆地
翻来复去	翻來覆去
老么	老么
老字号	老字號
老弱病残孕专座	愽愛座
老挝	寮國
老板	老闆
老铁	蔴吉
考卷	考卷
耕获	耕穫
聊天	哈拉
聊斋志异	聊齋誌異
联系	聯繫
肉丝面	肉絲麵
肉松	肉鬆
肉羹面	肉羹麵
肢体	肢体
肮脏	骯髒
肯尼亚	肯亞
背向着	背向著
背地里	背地裡
胡同	衚衕
胡子	鬍子
胡梢	鬍梢
胡渣	鬍渣
胡里胡涂	胡裡胡塗
胡须	鬍鬚
胡髭	鬍髭
胶卷	膠卷
能干	能幹
脉冲	脈衝
脏东西	髒東西
脏乱	髒亂
脏兮兮	髒兮兮
脏字	髒字
脏得	髒得
脏水	髒水
脏的	髒的
脏话	髒話
脏钱	髒錢
脑子里	腦子裡
脱发	脫髮
脱机	離線
腊味	腊味
腊笔	腊筆
腊肉	腊肉
腰里	腰裡
腾冲	騰衝
自制	自製
自行车	單車
自觉自愿	自覺自愿
致密	緻密
舂谷	舂穀
舍不得	捨不得
舍出	捨出
舍去	捨去
舍命	捨命
舍己为人	捨己為人
舍己为公	捨己為公
舍己为国	捨己為國
舍己从人	捨己從人
舍己救人	捨己救人
舍弃	捨棄
舍得	捨得
舍我其谁	捨我其誰
舍本逐末	捨本逐末
舍死忘生	捨死忘生
舍生	捨生
舍短取长	捨短取長
舍身	捨身
舍车保帅	捨車保帥
舍近求远	捨近求遠
舒卷	舒卷
舞台	舞臺
航天飞机	太空梭
航海历	航海曆
舰只	艦隻
船只	船隻
色拉油	沙拉油
芬郁	芬郁
芯片	晶元
花卷	花卷
花生	土荳
花盆里	花盆裡
花采	花采
苏里南	蘇利南
苑里	苑裡
若干	若干
苦卤	苦鹵
苦干	苦幹
苦里	苦裏
英菲尼迪	無限
范仲淹	范仲淹
范蠡	范蠡
范阳	范陽
茅台	茅臺
茎干	莖幹
茶几	茶几
草丛里	草叢裡
荡女	蕩女
荡妇	蕩婦
荡寇	蕩寇
荡平	蕩平
荡来荡去	蕩來蕩去
荡涤	蕩滌
荡漾	蕩漾
荡然	蕩然
荡舟	蕩舟
荡船	蕩船
荡荡	蕩蕩
莫桑比克	莫三比克
莱索托	賴索托
莲台	蓮臺
获准	獲准
莽荡	莽蕩
菌丝体	菌絲體
萝卜	蘿蔔
萦回	縈迴
萨达姆	薩達姆
落发	落髮
蒙住	矇住
蒙懂	懞懂
蒙昧无知	矇昧無知
蒙混	矇混
蒙眬	矇矓
蒙蒙	矇矇
蒙蔽	矇蔽
蒙雾	濛霧
蒙骗	矇騙
蓄发	蓄髮
蓄须	蓄鬚
蓬发	蓬髮
蓬松	蓬鬆
蕴借	蘊藉
蕴含着	蘊含著
蕴涵着	蘊涵著
薑丝	薑絲
薙发	薙髮
薯仔	土豆
藤制	藤製
虎须	虎鬚
蛮干	蠻幹
蜂后	蜂后
行事历	行事曆
街头霸王	快打旋風
街霸	快打旋風
表厂	錶廠
表壳	錶殼
表带	錶帶
表店	錶店
表里	表裡
表链	錶鏈
表面	錶面
衬里	襯裡
袖里	袖裡
被发	被髮
被复	被覆
被复着	被覆著
被里	被裡
裁制	裁製
裁并	裁併
西历	西曆
西岳	西嶽
西征	西征
西蓝花	芲椰菜
要么	要麼
要冲	要衝
见复	見覆
观众台	觀眾臺
观台	觀臺
观象台	觀象臺
视频	視訊
角落里	角落裡
觔斗	觔斗
触须	觸鬚
计算机	電腦
订制	訂製
讲台	講臺
诉说着	訴說著
词汇	詞彙
词组	片語
译码	解碼
试卷	試卷
诗卷	詩卷
话里有话	話裡有話
诬蔑	誣衊
语云	語云
语文	國文
语汇	語彙
语法	文灋
说着	說著
诵经台	誦經臺
请参阅	請參閱
读博	讀研究所
读研	讀研究所
课征	課征
调制	調製
调制解调器	數據機
调频台	調頻臺
谢绝参观	謝絕參觀
谷仓	穀倉
谷场	穀場
谷壳	穀殼
谷子	穀子
谷物	穀物
谷皮	穀皮
谷神	穀神
谷类	穀類
谷粒	穀粒
谷舱	穀艙
谷苗	穀苗
谷草	穀草
谷贱伤农	穀賤傷農
谷道	穀道
谷雨	穀雨
豆腐干	豆腐干
象征着	象徵著
贝克汉姆	貝克漢
贝宁	貝南
贤后	賢后
质朴	質朴
购并	購併
贵干	貴幹
贾后	賈后
赈饥	賑饑
赌台	賭檯
赞比亚	尚比亞
赤松	赤鬆
赫拉	希拉
赶制	趕製
起吊	起吊
起复	起複
跌荡	跌蕩
跟斗	跟斗
路虎	荒原路華
跳荡	跳蕩
跳表	跳錶
踬仆	躓仆
蹦极跳	笨豬跳
躯干	軀幹
车库里	車庫裡
车站里	車站裡
车里	車裡
转台	轉檯
轮回	輪迴
轮滑	直排輪
软件	軟體
软驱	軟碟機
轻松	輕鬆
辛丑	辛丑
辞汇	辭彙
辟邪	辟邪
迂回	迂迴
迈克尔·欧文	米高奧雲
迈克尔·舒马赫	舒麥加
近日里	近日裡
还冲	還衝
这么	這麼
这么着	這麼著
这只	這隻
这里	這裡
进制	進位
远征	遠征
连台好戏	連臺好戲
连系	連繫
迥然回异	迥然迴異
迷蒙	迷濛
退伙	退伙
退出	登出
送货上门	宅配
适才	適纔
递回	遞迴
通心面	通心麵
速溶咖啡	即溶咖啡
速食面	速食麵
遍布	遍佈
遮复	遮覆
邋里邋遢	邋裡邋遢
那么	那麼
那么着	那麼著
那只	那隻
那里	那裡
邪辟	邪辟
邻里	鄰裡
郁烈	郁烈
郁穆	郁穆
郁郁	鬱郁
郁闭	郁閉
郁馥	郁馥
配制	配製
配合着	配合著
酒坛	酒罈
酒杯	酒盃
酝借	醞藉
酝酿着	醞釀著
酥松	酥鬆
酸奶	優格
酿制	釀製
醋坛	醋罈
醲郁	醲郁
采地	采地
采声	采聲
采女	采女
采色	采色
采邑	采邑
里人	裡人
里加	裡加
里外	裡外
里头	裡頭
里子	裡子
里层	裡層
里屋	裡屋
里布	裡布
里带	裡帶
里应外合	裡應外合
里弦	裡弦
里拉	裡拉
里斯	裡斯
里海	裡海
里程表	里程錶
里脊	裡脊
里衣	裡衣
里边	裡邊
里通外国	裡通外國
里通外敌	裡通外敵
里里	裡裡
里间	裡間
里面	裡面
重复	重覆
重折	重摺
重锤	重鎚
野台戏	野臺戲
金发	金髮
金斗	金斗
金枪鱼	鮪魚
金表	金錶
金霉素	金黴素
钉锤	釘鎚
钟表	鐘錶
钢制	鋼製
铁臂阿童木	原子小金剛
铁锈	鐵鏽
铁锤	鐵鎚
铜制	銅製
铝制	鋁製
银发	銀髮
银朱	銀硃
链霉素	鏈黴素
锅台	鍋臺
锈病	鏽病
锈菌	鏽菌
锈蚀	鏽蝕
锤儿	鎚兒
锤头	鎚頭
锤子	鎚子
键盘侠	痠民
锲而不舍	鍥而不捨
锻鍊出	鍛鍊出
锻鍊身体	鍛鍊身体
镜台	鏡臺
长发	長髮
长征	長征
长须鲸	長鬚鯨
閒情逸致	閒情逸緻
閒荡	閒蕩
门帘	門帘
门斗	門斗
门球	錘毬
门里	門裡
闪存	快閃記憶體
问卷	問卷
间不容发	間不容髮
闵采尔	閔采爾
闹着玩儿	鬧著玩兒
阅卷	閱卷
阑干	闌干
防台	防颱
防御	防禦
防锈	防鏽
阳历	陽曆
阳台	陽臺
阳春面	陽春麵
阴历	陰曆
阴干	陰干
阴郁	陰郁
阿塞拜疆	亞塞拜然
阿拉伯联合酋长国	阿拉伯聯合大公國
阿斗	阿斗
阿里	阿裡
陆征祥	陸征祥
除旧布新	除舊佈新
难舍	難捨
雅致	雅緻
雇佣	雇佣
雠隙	讎隙
雪里	雪裡
雪铁龙	雪鐵龍
零钱	散钱
雷克萨斯	淩志
雾里	霧裡
震荡	震蕩
霉毒	黴毒
霉菌	黴菌
露台	露臺
青瓦台	青瓦臺
青霉	青黴
面临着	面臨著
面价	麵價
面包	麵包
面厂	麵廠
面团	麵團
面店	麵店
面朝着	面朝著
面杖	麵杖
面条	麵條
面灰	麵灰
面皮	麵皮
面筋	麵筋
面粉	麵粉
面糊	麵糊
面线	麵線
面茶	麵茶
面食	麵食
面饺	麵餃
面饼	麵餅
鞋里	鞋裡
鞣制	鞣製
鞭辟入里	鞭辟入裡
韩制	韓製
韩国制	韓國製
项目计划表	專案排程表
须发	鬚髮
须根	鬚根
须毛	鬚毛
须生	鬚生
须眉	鬚眉
须须	鬚鬚
颁布	頒佈
预制	預製
颊须	頰鬚
颠仆	顛仆
颠复	顛覆
风土志	風土誌
风斗	風斗
风物志	風物誌
风采	風采
风里	風裡
飘荡	飄蕩
饥不择食	饑不擇食
饥寒	饑寒
饥民	饑民
饥渴	饑渴
饥溺	饑溺
饥荒	饑荒
饥饱	饑飽
饥饿	饑餓
饥馑	饑饉
饭团	飯糰
饼干	餅干
馄饨面	餛飩麵
首当其冲	首當其衝
香郁	香郁
馥郁	馥郁
马尔代夫	馬爾地夫
马拉特·萨芬	沙芬
马耳他	馬爾他
马自达	萬事悳
马自达	馬自達
马表	馬錶
马里	馬裡
马里共和国	馬利共和國
骀荡	駘蕩
骂着	罵著
骨子里	骨子裡
骨干	骨幹
骨灰坛	骨灰罈
高台	高臺
高干	高幹
高考	聯考
高达	鋼彈
髭须	髭鬚
鬅松	鬅鬆
鬈发	鬈髮
鬓发	鬢髮
魔卡少女樱	庫洛魔灋使
鱼松	魚鬆
鲇鱼	鯰魚
鲸须	鯨鬚
鸡丝	雞絲
鸡丝面	雞絲麵
鸡只	雞隻
鸡腿面	雞腿麵
鹤发	鶴髮
麻酱面	麻醬麵
黄历	黃曆
黄发垂髫	黃髮垂髫
黑发	黑髮
黑松	黑鬆
鼓里	鼓裡
鼠标	滑鼠
龙卷	龍卷
龙须	龍鬚
