休克	xiū/kè
休兵	xiū/bīng
休兵罢战	xiū/bīng/bà/zhàn
休养	xiū/yǎng
休养所	xiū/yǎng/suǒ
休养生息	xiū/yǎng/shēng/xī
休刊	xiū/kān
休声美誉	xiū/shēng/měi/yù
休学	xiū/xué
休宁	xiū/níng
休息	xiū/xī
休想	xiū/xiǎng
休憩	xiū/qì
休战	xiū/zhàn
休戚	xiū/qī
休戚与共	xiū/qī/yǔ/gòng
休戚相关	xiū/qī/xiāng/guān
休整	xiū/zhěng
休明盛世	xiū/míng/shèng/shì
休止	xiū/zhǐ
休止符	xiū/zhǐ/fú
休牛归马	xiū/niú/guī/mǎ
休牛散马	xiū/niú/sàn/mǎ
休班	xiū/bān
休眠	xiū/mián
休耕	xiū/gēng
休耕地	xiū/gēng/dì
休闲	xiū/xián
众人国士	zhòng/rén/guó/shì
众人广坐	zhòng/rén/guǎng/zuò
众人拾柴火焰高	zhòng/rén/shí/chái/huǒ/yàn/gāo
众叛亲离	zhòng/pàn/qīn/lí
众口一词	zhòng/kǒu/yī/cí
众口一辞	zhòng/kǒu/yī/cí
众口交传	zhòng/kǒu/jiāo/chuán
众口交詈	zhòng/kǒu/jiāo/lì
众口交赞	zhòng/kǒu/jiāo/zàn
众口同声	zhòng/kǒu/tóng/shēng
众口嗷嗷	zhòng/kǒu/áo/áo
众口如一	zhòng/kǒu/rú/yī
众口熏天	zhòng/kǒu/xūn/tiān
众口相传	zhòng/kǒu/xiāng/chuán
众口纷纭	zhòng/kǒu/fēn/yún
众口铄金	zhòng/kǒu/shuò/jīn
众口销金	zhòng/kǒu/xiāo/jīn
众口难调	zhòng/kǒu/nán/tiáo
众啄同音	zhòng/zhòu/tóng/yīn
众喣山动	zhòng/xǔ/shān/dòng
众喣漂山	zhòng/xǔ/piāo/shān
众喣飘山	zhòng/xǔ/piāo/shān
众多非一	zhòng/duō/fēi/yī
众好众恶	zhòng/hào/zhòng/wù
众寡不敌	zhòng/guǎ/bù/dí
众寡势殊	zhòng/guǎ/shì/shū
众寡悬殊	zhòng/guǎ/xuán/shū
众寡悬绝	zhòng/guǎ/xuán/jué
众少成多	zhòng/shǎo/chéng/duō
众川赴海	zhòng/chuān/fù/hǎi
众心如城	zhòng/xīn/rú/chéng
众心成城	zhòng/xīn/chéng/chéng
众志成城	zhòng/zhì/chéng/chéng
众怒难任	zhòng/nù/nán/rèn
众怒难犯	zhòng/nù/nán/fàn
众怨之的	zhòng/yuàn/zhī/dì
众所共知	zhòng/suǒ/gòng/zhī
众所周知	zhòng/suǒ/zhōu/zhī
众擎易举	zhòng/qíng/yì/jǔ
众数	zhòng/shù
众星拱北	zhòng/xīng/gǒng/běi
众星拱月	zhòng/xīng/gǒng/yuè
众星拱极	zhòng/xīng/gǒng/jí
众星捧月	zhòng/xīng/pěng/yuè
众星攒月	zhòng/xīng/cuán/yuè
众星环极	zhòng/xīng/huán/jí
众望所归	zhòng/wàng/suǒ/guī
众望攸归	zhòng/wàng/yōu/guī
众楚群咻	zhòng/chǔ/qún/xiū
众毁销骨	zhòng/huǐ/xiāo/gǔ
众毛攒裘	zhòng/máo/cuán/qiú
众毛飞骨	zhòng/máo/fēi/gǔ
众流归海	zhòng/liú/guī/hǎi
众犬吠声	zhòng/quǎn/fèi/shēng
众生相	zhòng/shēng/xiàng
众目共睹	zhòng/mù/gòng/dǔ
众目共视	zhòng/mù/gòng/shì
众目具瞻	zhòng/mù/jù/zhān
众目昭彰	zhòng/mù/zhāo/zhāng
众目睽睽	zhòng/mù/kuí/kuí
众盲摸象	zhòng/máng/mō/xiàng
众矢之的	zhòng/shǐ/zhī/dì
众虎同心	zhòng/hǔ/tóng/xīn
众议成林	zhòng/yì/chéng/lín
众说	zhòng/shuō
众说纷揉	zhòng/shuō/fēn/róu
众说纷纭	zhòng/shuō/fēn/yún
众醉独醒	zhòng/zuì/dú/xǐng
众难群疑	zhòng/nán/qún/yí
众难群移	zhòng/nán/qún/yí
优价	yōu/jià
优化	yōu/huà
优哉游哉	yōu/zāi/yóu/zāi
优孟衣冠	yōu/mèng/yī/guān
优待	yōu/dài
优待券	yōu/dài/quàn
优惠券	yōu/huì/quàn
优惠待遇	yōu/huì/dài/yù
优昙一现	yōu/tán/yī/xiàn
优柔厌饫	yōu/róu/yàn/yù
优柔寡断	yōu/róu/guǎ/duàn
优柔餍饫	yōu/róu/yàn/yù
优游不断	yōu/yóu/bù/duàn
优游卒岁	yōu/yóu/zú/suì
优游岁月	yōu/yóu/suì/yuè
优游涵泳	yōu/yóu/hán/yǒng
优游自在	yōu/yóu/zì/zài
优游自如	yōu/yóu/zì/rú
优游自得	yōu/yóu/zì/dé
优游自若	yōu/yóu/zì/ruò
优游自适	yōu/yóu/zì/shì
优胜劣败	yōu/shèng/liè/bài
优贤扬历	yōu/xián/yáng/lì
优贤飏历	yōu/xián/yáng/lì
伙伴关系	huǒ/bàn/guān/xì
伙同	huǒ/tóng
伙夫	huǒ/fū
伙食	huǒ/shí
会上	huì/shàng
会众	huì/zhòng
会儿	huì/er
会元	huì/yuán
会党	huì/dǎng
会典	huì/diǎn
会刊	huì/kān
会剿	huì/jiǎo
会务	huì/wù
会厌	huì/yàn
会友	huì/yǒu
会合	huì/hé
会同	huì/tóng
会员	huì/yuán
会员国	huì/yuán/guó
会商	huì/shāng
会场	huì/chǎng
会址	huì/zhǐ
会堂	huì/táng
会宁	huì/níng
会审	huì/shěn
会客	huì/kè
会客室	huì/kè/shì
会家不忙	huì/jiā/bù/máng
会少离多	huì/shǎo/lí/duō
会师	huì/shī
会徽	huì/huī
会心	huì/xīn
会意	huì/yì
会战	huì/zhàn
会所	huì/suǒ
会报	huì/bào
会操	huì/cāo
会昌	huì/chāng
会晤	huì/wù
会期	huì/qī
会标	huì/biāo
会水	huì/shuǐ
会演	huì/yǎn
会理	huì/lǐ
会社	huì/shè
会章	huì/zhāng
会签	huì/qiān
会籍	huì/jí
会考	huì/kǎo
会者不忙	huì/zhě/bù/máng
会聚	huì/jù
会见	huì/jiàn
会计	kuài/jì
会计制度	kuài/jì/zhì/dù
会计师	kuài/jì/shī
会议	huì/yì
会议室	huì/yì/shì
会诊	huì/zhěn
会试	huì/shì
会话	huì/huà
会谈	huì/tán
会账	huì/zhàng
会费	huì/fèi
会车	huì/chē
会通	huì/tōng
会逢其适	huì/féng/qí/shì
会道能说	huì/dào/néng/shuō
会道门	huì/dào/mén
会钞	huì/chāo
会长	huì/zhǎng
会阴	huì/yīn
会集	huì/jí
会面	huì/miàn
会风	huì/fēng
会餐	huì/cān
会馆	huì/guǎn
会首	huì/shǒu
会齐	huì/qí
伛偻	yǔ/lǚ
伞盖	sǎn/gài
伟大	wěi/dà
伟绩丰功	wěi/jì/fēng/gōng
伟论	wěi/lùn
传世	chuán/shì
传为佳话	chuán/wéi/jiā/huà
传为笑柄	chuán/wéi/xiào/bǐng
传为笑谈	chuán/wéi/xiào/tán
传为美谈	chuán/wéi/měi/tán
传习	chuán/xí
传人	chuán/rén
传代	chuán/dài
传令	chuán/lìng
传令兵	chuán/lìng/bīng
传入	chuán/rù
传动	chuán/dòng
传动带	chuán/dòng/dài
传单	chuán/dān
传单炸弹	chuán/dān/zhà/dàn
传名	chuán/míng
传告	chuán/gào
传呼	chuán/hū
传呼电话	chuán/hū/diàn/huà
传唤	chuán/huàn
传唱	chuán/chàng
传圭袭组	chuán/guī/xí/zǔ
传声	chuán/shēng
传声器	chuán/shēng/qì
传声筒	chuán/shēng/tǒng
传奇	chuán/qí
传媒	chuán/méi
传宗接代	chuán/zōng/jiē/dài
传家	chuán/jiā
传家宝	chuán/jiā/bǎo
传导	chuán/dǎo
传布	chuán/bù
传帮带	chuán/bāng/dài
传情	chuán/qíng
传感	chuán/gǎn
传感器	chuán/gǎn/qì
传扬	chuán/yáng
传承	chuán/chéng
传抄	chuán/chāo
传授	chuán/shòu
传播	chuán/bō
传教	chuán/jiào
传教士	chuán/jiào/shì
传旨	chuán/zhǐ
传本	chuán/běn
传杯弄盏	chuán/bēi/nòng/zhǎn
传杯换盏	chuán/bēi/huàn/zhǎn
传柄移藉	chuán/bǐng/yí/jiè
传染	chuán/rǎn
传染病	chuán/rǎn/bìng
传檄而定	chuán/xí/ér/dìng
传热	chuán/rè
传爵袭紫	chuán/jué/xí/zǐ
传球	chuán/qiú
传略	zhuàn/lüè
传真	chuán/zhēn
传真电报	chuán/zhēn/diàn/bào
传神	chuán/shén
传神阿堵	chuán/shén/ā/dǔ
传票	chuán/piào
传种	chuán/zhǒng
传粉	chuán/fěn
传纸条	chuán/chǐ/tiáo
传经	chuán/jīng
传经送宝	chuán/jīng/sòng/bǎo
传统	chuán/tǒng
传言	chuán/yán
传讯	chuán/xùn
传记	zhuàn/jì
传译	chuán/yì
传话	chuán/huà
传说	chuán/shuō
传诵	chuán/sòng
传诵一时	chuán/sòng/yī/shí
传质	chuán/zhì
传输	chuán/shū
传达	chuán/dá
传达室	chuán/dá/shì
传送	chuán/sòng
传送带	chuán/sòng/dài
传递	chuán/dì
传道	chuán/dào
传道受业	chuán/dào/shòu/yè
传问	chuán/wèn
传闻	chuán/wén
传闻不如亲见	chuán/wén/bù/rú/qīn/jiàn
传闻异辞	chuán/wén/yì/cí
传阅	chuán/yuè
传颂	chuán/sòng
传风扇火	chuán/fēng/shān/huǒ
传风搧火	chuán/fēng/shān/huǒ
传龟袭紫	chuán/guī/xí/zǐ
伤亡	shāng/wáng
伤亡事故	shāng/wáng/shì/gù
伤化败俗	shāng/huà/bài/sú
伤号	shāng/hào
伤员	shāng/yuán
伤天害理	shāng/tiān/hài/lǐ
伤弓之鸟	shāng/gōng/zhī/niǎo
伤心惨目	shāng/xīn/cǎn/mù
伤心疾首	shāng/xīn/jí/shǒu
伤心蒿目	shāng/xīn/hāo/mù
伤教败俗	shāng/jiào/bài/sú
伤病员	shāng/bìng/yuán
伤筋动骨	shāng/jīn/dòng/gǔ
伤言扎语	shāng/yán/zhā/yǔ
伤风	shāng/fēng
伤风败俗	shāng/fēng/bài/sú
伤风败化	shāng/fēng/bài/huà
伦敦	lún/dūn
伦敦大学	lún/dūn/dà/xué
伧俗	cāng/sú
伪君子	wěi/jūn/zi
伯乐	bó/lè
伯乐一顾	bō/lè/yī/gù
伯乐相马	bó/lè/xiàng/mǎ
伯仲	bó/zhòng
伯仲之间	bó/zhòng/zhī/jiān
伯仲叔季	bó/zhòng/shū/jì
伯伯	bó/bo
伯公	bó/gōng
伯利兹	bó/lì/zī
伯劳	bó/láo
伯劳飞燕	bó/láo/fēi/yàn
伯埙仲篪	bó/xūn/zhòng/chí
伯婆	bó/pó
伯尔尼	bó/ěr/ní
伯德	bó/dé
伯歌季舞	bó/gē/jì/wǔ
伯母	bó/mǔ
伯爵	bó/jué
伯父	bó/fù
伯玉知非	bó/yù/zhī/fēi
伯祖	bó/zǔ
伯祖母	bó/zǔ/mǔ
伯道无儿	bó/dào/wú/ér
估产	gū/chǎn
估价	gū/jià
估堆儿	gū/duī/ér
估摸	gū/mō
估算	gū/suàn
估衣	gù/yī
估计	gū/jì
估量	gū/liang
伴同	bàn/tóng
伴读	bàn/dú
伴郎	bàn/láng
伴食中书	bàn/shí/zhōng/shū
伴食宰相	bàn/shí/zǎi/xiàng
伶仃孤苦	líng/dīng/gū/kǔ
伶俐乖巧	líng/lì/guāi/qiǎo
伶牙俐齿	líng/yá/lì/chǐ
伸冤理枉	shēn/yuān/lǐ/wǎng
伸头	shēn/tóu
伸头探脑	shēn/tóu/tàn/nǎo
伸头缩颈	shēn/tóu/suō/jǐng
伸手不见五指	shēn/shǒu/bù/jiàn/wǔ/zhǐ
伸曲	shēn/qū
伸缩	shēn/suō
伸缩性	shēn/suō/xìng
伸舌头	shēn/shé/tou
伸长	shēn/cháng
伺侯	cì/hòu
伺候	cì/hou
伺机	sì/jī
伺瑕导蠙	sì/xiá/dǎo/pín
伺瑕导隙	sì/xiá/dǎo/xì
伺瑕抵蠙	sì/xiá/dǐ/pín
伺瑕抵隙	sì/xiá/dǐ/xì
伺隙	sì/xì
似乎	sì/hū
似懂非懂	sì/dǒng/fēi/dǒng
似是而非	sì/shì/ér/fēi
似曾	sì/céng
似曾相识	sì/céng/xiāng/shí
似有如无	sì/yǒu/rú/wú
似水如鱼	sì/shuǐ/rú/yú
似水流年	sì/shuǐ/liú/nián
似漆如胶	sì/qī/rú/jiāo
似的	shì/de
似笑非笑	sì/xiào/fēi/xiào
似箭在弦	sì/jiàn/zài/xián
似醉如痴	sì/zuì/rú/chī
似非而是	sì/fēi/ér/shì
伽利略	jiā/lì/lüè
伽蓝	qié/lán
伽马	gā/mǎ
伽马射线	gā/mǎ/shè/xiàn
佃农	diàn/nóng
佃客	diàn/kè
佃户	diàn/hù
佃租	diàn/zū
位不期骄	wèi/bù/qī/jiāo
位卑言高	wèi/bēi/yán/gāo
位极人臣	wèi/jí/rén/chén
位能	wèi/néng
低三下四	dī/sān/xià/sì
低估	dī/gū
低凹	dī/āo
低压	dī/yā
低吟浅唱	dī/yín/qiǎn/chàng
低哑	dī/yǎ
低唱浅斟	dì/chàng/qiǎn/zhēn
低唱浅酌	dì/chàng/qiǎn/zhuó
低回不已	dī/huí/bù/yǐ
低地	dī/dì
低声下气	dī/shēng/xià/qì
低声哑气	dī/shēng/yǎ/qì
低声细语	dī/shēng/xì/yǔ
低头	dī/tóu
低头丧气	dī/tóu/sàng/qì
低头哈腰	dī/tóu/hā/yāo
低头搭脑	dī/tóu/dā/nǎo
低头耷脑	dī/tóu/dā/nǎo
低心下意	dī/xīn/xià/yì
低情曲意	dī/qíng/qū/yì
低眉垂眼	dī/méi/chuí/yǎn
低眉折腰	dī/méi/zhé/yāo
低眉顺眼	dī/méi/shùn/yǎn
低空	dī/kōng
低级趣味	dī/jí/qù/wèi
低能	dī/néng
低能儿	dī/néng/ér
低落	dī/luò
低血压	dī/xuè/yā
低血糖	dī/xuè/táng
低语	dī/yǔ
低调	dī/diào
低频	dī/pín
低首下心	dī/shǒu/xià/xīn
低首下气	dī/shǒu/xià/qì
住一宿	zhù/yì/xiǔ
住地	zhù/dì
住处	zhù/chù
住宅区	zhù/zhái/qū
住家	zhù/jiā
住宿	zhù/sù
住校	zhù/xiào
住读	zhù/dú
佐雍得尝	zuǒ/yōng/dé/cháng
佐饔得尝	zuǒ/yōng/dé/cháng
佑助	yòu/zhù
体会	tǐ/huì
体位	tǐ/wèi
体例	tǐ/lì
体内	tǐ/nèi
体制	tǐ/zhì
体制改革	tǐ/zhì/gǎi/gé
体力	tǐ/lì
体力劳动	tǐ/lì/láo/dòng
体味	tǐ/wèi
体国经野	tǐ/guó/jīng/yě
体坛	tǐ/tán
体型	tǐ/xíng
体外受精	tǐ/wài/shòu/jīng
体大思精	tǐ/dà/sī/jīng
体察	tǐ/chá
体己	tī/ji
体式	tǐ/shì
体弱	tǐ/ruò
体形	tǐ/xíng
体念	tǐ/niàn
体态	tǐ/tài
体态语	tǐ/tài/yǔ
体性	tǐ/xìng
体恤	tǐ/xù
体恤入微	tǐ/xù/rù/wēi
体悟	tǐ/wù
体惜	tǐ/xī
体操	tǐ/cāo
体无完皮	tǐ/wú/wán/pí
体无完肤	tǐ/wú/wán/fū
体校	tǐ/xiào
体格	tǐ/gé
体检	tǐ/jiǎn
体液	tǐ/yè
体温	tǐ/wēn
体温表	tǐ/wēn/biǎo
体温计	tǐ/wēn/jì
体物缘情	tǐ/wù/yuán/qíng
体现	tǐ/xiàn
体用	tǐ/yòng
体癣	tǐ/xuǎn
体积	tǐ/jī
体系	tǐ/xì
体统	tǐ/tǒng
体罚	tǐ/fá
体肤	tǐ/fū
体育	tǐ/yù
体育场	tǐ/yù/chǎng
体育运动	tǐ/yù/yùn/dòng
体育道德	tǐ/yù/dào/dé
体育馆	tǐ/yù/guǎn
体胀系数	tǐ/zhàng/xì/shù
体能	tǐ/néng
体腔	tǐ/qiāng
体表	tǐ/biǎo
体裁	tǐ/cái
体规画圆	tǐ/guī/huà/yuán
体认	tǐ/rèn
体谅	tǐ/liàng
体貌	tǐ/mào
体质	tǐ/zhì
体贴	tǐ/tiē
体贴入妙	tǐ/tiē/rù/miào
体贴入微	tǐ/tiē/rù/wēi
体重	tǐ/zhòng
体量	tǐ/liàng
体面	tǐ/miàn
体验	tǐ/yàn
体魄	tǐ/pò
何不	hé/bù
何乐不为	hé/lè/bù/wéi
何乐而不为	hé/lè/ér/bù/wéi
何事	hé/shì
何仙姑	hé/xiān/gū
何以	hé/yǐ
何其	hé/qí
何其毒也	hé/qí/dú/yě
何其相似乃尔	hé/qí/xiāng/sì/nǎi/ěr
何况	hé/kuàng
何去何从	hé/qù/hé/cóng
何在	hé/zài
何处	hé/chǔ
何如	hé/rú
何妨	hé/fáng
何尝	hé/cháng
何干	hé/gān
何必	hé/bì
何必当初	hé/bì/dāng/chū
何患无辞	hé/huàn/wú/cí
何所不为	hé/suǒ/bù/wéi
何所不有	hé/suǒ/bù/yǒu
何所不至	hé/suǒ/bù/zhì
何故	hé/gù
何日	hé/rì
何时	hé/shí
何曾	hé/zēng
何止	hé/zhǐ
何物	hé/wù
何用	hé/yòng
何等	hé/děng
何罪之有	hé/zuì/zhī/yǒu
何者	hé/zhě
何苦	hé/kǔ
何许	hé/xǔ
何许人	hé/xǔ/rén
何谓	hé/wèi
何足为奇	hé/zú/wéi/qí
何足介意	hé/zú/jiè/yì
何足挂齿	hé/zú/guà/chǐ
何足道哉	hé/zú/dào/zāi
何须	hé/xū
何首乌	hé/shǒu/wū
余业遗烈	yú/yè/yí/liè
余光分人	yú/guāng/fēn/rén
余兴	yú/xìng
余切	yú/qiē
余勇可贾	yú/yǒng/kě/gǔ
余味无穷	yú/wèi/wú/qióng
余响绕梁	yú/xiǎng/rào/liáng
余地	yú/dì
余声三日	yú/shēng/sān/rì
余头	yú/tóu
余妙绕梁	yú/miào/rào/liáng
余子碌碌	yú/zǐ/lù/lù
余数	yú/shù
余杯冷炙	yú/bēi/lěng/zhì
余桃啖君	yú/táo/dàn/jūn
余毒	yú/dú
余波未平	yú/bō/wèi/píng
余烬复燃	yú/jìn/fù/rán
余腥残秽	yú/xīng/cán/huì
余膏剩馥	yú/gāo/shèng/fù
余角	yú/jiǎo
余量	yú/liàng
余霞成绮	yú/xiá/chéng/qǐ
余霞散绮	yú/xiá/sàn/qǐ
余音绕梁	yú/yīn/rào/liáng
余音缭绕	yú/yīn/liáo/rào
余音袅袅	yú/yīn/niǎo/niǎo
余韵流风	yú/yùn/liú/fēng
余风	yú/fēng
余风遗文	yú/fēng/yí/wén
余食赘行	yú/shí/zhuì/xíng
佚失	yì/shī
佚文	yì/wén
佛事	fó/shì
佛会	fó/huì
佛像	fó/xiàng
佛光	fó/guāng
佛光寺	fó/guāng/sì
佛典	fó/diǎn
佛口蛇心	fó/kǒu/shé/xīn
佛号	fó/hào
佛堂	fó/táng
佛塔	fó/tǎ
佛头加秽	fó/tóu/jiā/huì
佛头着粪	fó/tóu/zhuó/fèn
佛头著粪	fó/tóu/zhuó/fèn
佛学	fó/xué
佛家	fó/jiā
佛寺	fó/sì
佛山	fó/shān
佛山市	fó/shān/shì
佛心蛇口	fó/xīn/shé/kǒu
佛性	fó/xìng
佛性禅心	fó/xìng/chán/xīn
佛手	fó/shǒu
佛手柑	fó/shǒu/gān
佛教	fó/jiào
佛教徒	fó/jiào/tú
佛是金妆，人是衣妆	fó/shì/jīn/zhuāng/<py_unk>/rén/shì/yī/zhuāng
佛是金装，人是衣装	fó/shì/jīn/zhuāng/<py_unk>/rén/shì/yī/zhuāng
佛殿	fó/diàn
佛法	fó/fǎ
佛爷	fó/yé
佛牙	fó/yá
佛珠	fó/zhū
佛甲草	fó/jiǎ/cǎo
佛眼佛心	fó/yǎn/fó/xīn
佛眼相看	fó/yǎn/xiāng/kàn
佛祖	fó/zǔ
佛经	fó/jīng
佛罗伦萨	fó/luó/lún/sà
佛门	fó/mén
佛门弟子	fó/mén/dì/zǐ
佛陀	fó/tuó
佛高一尺，魔高一丈	fó/gāo/yī/chǐ/<py_unk>/mó/gāo/yī/zhàng
佛龛	fó/kān
作为	zuò/wéi
作乐	zuò/yuè
作价	zuò/jià
作作有芒	zuò/zuò/yǒu/máng
作假	zuò/jiǎ
作兴	zuò/xīng
作别	zuò/bié
作古正经	zuò/gǔ/zhèng/jīng
作呕	zuò/ǒu
作善降祥	zuò/shàn/jiàng/xiáng
作困兽斗	zuò/kùn/shòu/dòu
作坊	zuō/fang
作壁上观	zuò/bì/shàng/guān
作奸犯科	zuò/jiān/fàn/kē
作奸犯罪	zuò/jiān/fàn/zuì
作好作歹	zuò/hǎo/zuò/dǎi
作如是观	zuò/rú/shì/guān
作威作福	zuò/wēi/zuò/fú
作嫁衣裳	zuò/jià/yī/shāng
作家	zuò/jiā
作小服低	zuò/xiǎo/fú/dī
作弄	zuō/nòng
作恶	zuò/è
作恶多端	zuò/è/duō/duān
作数	zuò/shù
作曲	zuò/qǔ
作歹为非	zuò/dǎi/wéi/fēi
作法自弊	zuò/fǎ/zì/bì
作法自毙	zuò/fǎ/zì/bì
作浪兴风	zuò/làng/xīng/fēng
作福作威	zuò/fú/zuò/wēi
作答	zuò/dá
作罢	zuò/bà
作育人材	zuò/yù/rén/cái
作舍道旁	zuò/shě/dào/páng
作舍道边	zuò/shě/dào/biān
作茧自缚	zuò/jiǎn/zì/fù
作言造语	zuò/yán/zào/yǔ
作贼心虚	zuò/zéi/xīn/xū
作辍无常	zuò/chuò/wú/cháng
作金石声	zuò/jīn/shí/shēng
作难	zuò/nán
作风	zuò/fēng
佝偻	gōu/lóu
佝偻病	gōu/lóu/bìng
佝偻着腰	gōu/lóu/zhe/yāo
你们	nǐ/men
你们俩	nǐ/mēn/liǎ
你们的	nǐ/men/de
你们自己	nǐ/men/zì/jǐ
你们自己的	nǐ/men/zì/jǐ/de
你唱我和	nǐ/chàng/wǒ/hé
你夺我争	nǐ/duó/wǒ/zhēng
你好	nǐ/hǎo
你死我活	nǐ/sǐ/wǒ/huó
你追我赶	nǐ/zhuī/wǒ/gǎn
佣中佼佼	yòng/zhōng/jiǎo/jiǎo
佣人	yōng/rén
佣工	yōng/gōng
佣金	yòng/jīn
佣钱	yòng/qián
佩服	pèi/fú
佩紫怀黄	pèi/zǐ/huái/huáng
佩韦佩弦	pèi/wéi/pèi/xián
佯称	yáng/chēng
佯轮诈败	yáng/lún/zhà/bài
佯输诈败	yáng/shū/zhà/bài
佯风诈冒	yáng/fēng/zhà/mào
佳丽	jiā/lì
佳人才子	jiā/rén/cái/zǐ
佳人薄命	jiā/rén/bó/mìng
佳儿佳妇	jiā/ér/jiā/fù
佳兵不祥	jiā/bīng/bù/xiáng
佳句	jiā/jù
佳期	jiā/qī
佳节	jiā/jié
佶屈聱牙	jí/qū/áo/yá
佹形僪状	guǐ/xíng/yù/zhuàng
佹得佹失	guǐ/dé/guǐ/shī
佻薄	tiāo/bó
佻身飞镞	tiāo/shēn/fēi/zú
使不得	shǐ/bù/dé
使乖弄巧	shǐ/guāi/nòng/qiǎo
使令	shǐ/lìng
使出浑身解数	shǐ/chū/hún/shēn/xiè/shù
使功不如使过	shǐ/gōng/bù/rú/shǐ/guò
使劲	shǐ/jìn
使嘴使舌	shǐ/zuǐ/shǐ/shé
使坏	shǐ/huài
使女	shǐ/nǚ
使得	shǐ/de
使心作倖	shǐ/xīn/zuò/xìng
使心作幸	shǐ/xīn/zuò/xìng
使心别气	shǐ/xīn/bié/qì
使心用倖	shǐ/xīn/yòng/xìng
使心用幸	shǐ/xīn/yòng/xìng
使心用腹	shǐ/xīn/yòng/fù
使性傍气	shǐ/xìng/bàng/qì
使性子	shǐ/xìng/zi
使性掼气	shǐ/xìng/guàn/qì
使性谤气	shǐ/xìng/bàng/qì
使愚使过	shǐ/yú/shǐ/guò
使料所及	shǐ/liào/suǒ/jí
使智使勇	shǐ/zhì/shǐ/yǒng
使用价值	shǐ/yòng/jià/zhí
使羊将狼	shǐ/yáng/jiàng/láng
使臂使指	shǐ/bì/shǐ/zhǐ
使节	shǐ/jié
使蚊负山	shǐ/wén/fù/shān
使贤任能	shǐ/xián/rèn/néng
使贪使愚	shǐ/tān/shǐ/yú
使酒骂坐	shǐ/jiǔ/mà/zuò
使酒骂座	shǐ/jiǔ/mà/zuò
侃侃而言	kǎn/kǎn/ér/yán
侃侃而谈	kǎn/kǎn/ér/tán
侃侃訚訚	kǎn/kǎn/yín/yín
侃侃谔谔	kǎn/kǎn/è/è
侃大山	kǎn/dà/shān
侄儿	zhí/er
侄女	zhí/nǚ
侄女儿	zhí/nǚ/er
侄女婿	zhí/nǚ/xù
侄子	zhí/zi
侄孙	zhí/sūn
侄孙女	zhí/sūn/nǚ
侈丽闳衍	chǐ/lì/hóng/yǎn
侈人观听	chǐ/rén/guān/tīng
侈侈不休	chǐ/chǐ/bù/xiū
侈恩席宠	chǐ/ēn/xí/chǒng
侈纵偷苟	chǐ/zòng/tōu/gǒu
侈衣美食	chǐ/yī/měi/shí
侉子	kuǎ/zi
例会	lì/huì
例假	lì/jià
例句	lì/jù
例子	lì/zi
例直禁简	lì/zhí/jìn/jiǎn
例行	lì/xíng
例行公事	lì/xíng/gōng/shì
例行差事	lì/xíng/chāi/shì
侍从	shì/cóng
侍女	shì/nǚ
侍应生	shì/yìng/shēng
侍弄	shì/nòng
侍执巾节	shì/zhí/jīn/jié
侍郎	shì/láng
侏儒一节	zhū/rǔ/yī/jié
侏儒症	zhū/rú/zhèng
侏儒观戏	zhū/rǔ/guān/xì
侔色揣称	móu/sè/chuǎi/chèn
侗族	dòng/zú
供不应求	gōng/bù/yìng/qiú
供事	gòng/shì
供人	gōng/rén
供佛	gòng/fó
供养	gòng/yǎng
供品	gòng/pǐn
供奉	gòng/fèng
供孩子上学	gōng/hái/zi/shàng/xué
供应	gōng/yìng
供应站	gōng/yìng/zhàn
供料	gōng/liào
供旅客休息	gōng/lǚ/kè/xiū/xī
供暖	gòng/nuǎn
供果	gòng/guǒ
供案	gòng/àn
供桌	gòng/zhuō
供欣赏	gōng/xīn/shǎng
供气	gōng/qì
供水	gōng/shuǐ
供求	gōng/qiú
供求关系	gōng/qiú/guān/xì
供状	gòng/zhuàng
供献	gòng/xiàn
供电	gōng/diàn
供称	gòng/chēng
供稿	gòng/gǎo
供给	gōng/jǐ
供给制	gōng/jǐ/zhì
供职	gòng/zhí
供认	gòng/rèn
供认不讳	gòng/rèn/bú/huì
供词	gòng/cí
供读者参考	gōng/dú/zhě/cān/kǎo
供过于求	gōng/guò/yú/qiú
供销	gōng/xiāo
供销合作社	gōng/xiāo/hé/zuò/shè
供销社	gōng/xiāo/shè
供需	gōng/xū
侜张为幻	zhōu/zhāng/wéi/huàn
依丱附木	yī/kuàng/fù/mù
依乷附木	yī/kuàng/fù/mù
依人篱下	yī/rén/lí/xià
依从	yī/cóng
依依不舍	yī/yī/bù/shě
依依惜别	yī/yī/xī/bié
依头缕当	yī/tóu/lǚ/dàng
依头顺尾	yī/tóu/shùn/wěi
依山傍水	yī/shān/bàng/shuǐ
依心像意	yī/xīn/xiàng/yì
依据	yī/jù
依本画葫芦	yī/běn/huà/hú/lú
依样画葫芦	yī/yàng/huà/hú/lú
依样葫芦	yī/yàng/hú/lu
依法炮制	yī/fǎ/páo/zhì
依法砲制	yī/fǎ/pào/zhì
依流平进	yī/liú/píng/jìn
依然如故	yī/rán/rú/gù
依然故我	yī/rán/gù/wǒ
依约	yī/yuē
依经傍注	yī/jīng/bàng/zhù
依翠偎红	yī/cuì/wēi/hóng
依草附木	yī/cǎo/fù/mù
依葫芦画瓢	yī/hú/lu/huà/piáo
依违两可	yī/wéi/liǎng/kě
依门傍户	yī/mén/bàng/hù
