一发	yī/fà
一发千钧	yī/fà/qiān/jūn
一发破的	yī/fā/pò/dì
一口一声	yī/kǒu/yī/shēng
一口三舌	yī/kǒu/sān/shé
一口两匙	yī/kǒu/liǎng/chí
一口同声	yī/kǒu/tóng/shēng
一口同音	yī/kǒu/tóng/yīn
一口吸尽西江水	yī/kǒu/xī/jìn/xī/jiāng/shuǐ
一口咬定	yì/kǒu/yǎo/dìng
一口气	yì/kǒu/qì
一句话	yī/jù/huà
一只	yī/zhī
一叶扁舟	yí/yè/piān/zhōu
一叶报秋	yī/yè/bào/qiū
一叶知秋	yī/yè/zhī/qiū
一叶落知天下秋	yī/yè/luò/zhī/tiān/xià/qiū
一叶迷山	yī/yè/mí/shān
一叶障目	yī/yè/zhàng/mù
一叶障目，不见泰山	yī/yè/zhàng/mù/<py_unk>/bù/jiàn/tài/shān
一号	yī/hào
一同	yī/tóng
一吐为快	yī/tǔ/wéi/kuài
一向	yí/xiàng
一吟一咏	yī/yīn/yī/yǒng
一吠百声	yī/fèi/bǎi/shēng
一吹一唱	yī/chuī/yī/chàng
一呵而就	yī/hē/ér/jiù
一呼再喏	yī/hū/zài/nuò
一呼百应	yī/hū/bǎi/yìng
一呼百诺	yī/hū/bǎi/nuò
一命之荣	yī/mìng/zhī/róng
一命呜呼	yí/mìng/wū/hū
一命归西	yī/mìng/guī/xī
一命归阴	yī/mìng/guī/yīn
一命鸣呼	yī/mìng/míng/hū
一品白衫	yī/pǐn/bái/shān
一品红	yī/pǐn/hóng
一哄而上	yì/hōng/ér/shàng
一哄而散	yī/hòng/ér/sàn
一哄而起	yī/hōng/ér/qǐ
一哭二闹	yì/kū/èr/nào
一唱一和	yī/chàng/yī/hè
一唱三叹	yī/chàng/sān/tàn
一唱百和	yī/chàng/bǎi/hé
一喷一醒	yī/pēn/yī/xǐng
一噎止餐	yī/yē/zhǐ/cān
一嚬一笑	yī/pín/yī/xiào
一回儿	yì/huí/er
一团和气	yī/tuán/hé/qì
一团漆黑	yī/tuán/qī/hēi
一国三公	yī/guó/sān/gōng
一场	yī/chǎng
一场春梦	yī/chǎng/chūn/mèng
一场梦	yì/cháng/mèng
一场空	yī/cháng/kōng
一场雨	yī/cháng/yǔ
一坐一起	yī/zuò/yī/qǐ
一坐尽倾	yī/zuò/jìn/qīng
一坐尽惊	yī/zuò/jìn/jīng
一坐皆惊	yī/zuò/jiē/jīng
一块石头落了地	yī/kuài/shí/tou/luò/le/dì
一块石头落地	yī/kuài/shí/tóu/luò/dì
一塌刮子	yī/tā/guā/zi
一塌糊涂	yī/tā/hú/tú
一塌胡涂	yī/tā/hú/tú
一声不吭	yī/shēng/bù/kēng
一声不响	yì/shēng/bù/xiǎng
一壶千金	yī/hú/qiān/jīn
