幂	冪
庄	莊
庆	慶
庐	廬
庑	廡
库	庫
应	應
庙	廟
庞	龐
废	廢
廪	廩
开	開
异	異
弃	棄
弑	弒
张	張
弪	弳
弯	彎
弹	彈
强	強
归	歸
彝	彞
彦	彥
彻	徹
径	徑
徕	徠
忆	憶
忏	懺
忧	憂
忾	愾
怀	懷
态	態
怂	慫
怃	憮
怄	慪
怅	悵
怆	愴
怜	憐
总	總
怼	懟
怿	懌
恋	戀
恒	恆
恳	懇
恸	慟
恹	懨
恺	愷
恻	惻
恼	惱
恽	惲
悦	悅
悬	懸
悭	慳
悮	悞
悯	憫
惊	驚
惧	懼
惨	慘
惩	懲
惫	憊
惬	愜
惭	慚
惮	憚
惯	慣
愠	慍
愤	憤
愦	憒
慑	懾
懑	懣
懒	懶
懔	懍
戆	戇
戋	戔
戏	戲
戗	戧
战	戰
戬	戩
户	戶
扑	撲
执	執
扩	擴
扪	捫
扫	掃
扬	揚
扰	擾
抚	撫
抛	拋
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
拟	擬
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	擇
挂	掛
挚	摯
挛	攣
挜	掗
挝	撾
挞	撻
挟	挾
挠	撓
挡	擋
挢	撟
挣	掙
挤	擠
挥	揮
挦	撏
挽	輓
捝	挩
捞	撈
损	損
捡	撿
换	換
捣	搗
掳	擄
掴	摑
掷	擲
掸	撣
掺	摻
掼	摜
揽	攬
揾	搵
揿	撳
搀	攙
搁	擱
搂	摟
搅	攪
携	攜
摄	攝
摅	攄
摆	擺
摇	搖
摈	擯
摊	攤
撄	攖
撑	撐
㧑	撝
撵	攆
撷	擷
撸	擼
撺	攛
㧟	擓
擞	擻
攒	攢
敌	敵
敛	斂
数	數
斋	齋
斓	斕
斩	斬
断	斷
无	無
旧	舊
时	時
旷	曠
旸	暘
昙	曇
昼	晝
昽	曨
显	顯
晋	晉
晒	曬
晓	曉
晔	曄
晕	暈
晖	暉
暂	暫
暧	曖
机	機
杀	殺
杂	雜
权	權
杆	桿
条	條
来	來
杨	楊
杩	榪
杰	傑
构	構
枞	樅
枢	樞
枣	棗
枥	櫪
枧	梘
枨	棖
枪	槍
枫	楓
枭	梟
柠	檸
柽	檉
栀	梔
栅	柵
标	標
栈	棧
栉	櫛
栊	櫳
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
栖	棲
栗	慄
样	樣
栾	欒
桠	椏
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
梦	夢
梼	檮
梾	棶
梿	槤
检	檢
棁	梲
棂	欞
椁	槨
椟	櫝
椠	槧
椤	欏
椭	橢
楼	樓
榄	欖
榅	榲
榇	櫬
榈	櫚
榉	櫸
槚	檟
槛	檻
槟	檳
槠	櫧
横	橫
樯	檣
樱	櫻
橥	櫫
橱	櫥
橹	櫓
橼	櫞
檩	檁
欢	歡
欤	歟
欧	歐
歼	殲
殁	歿
殇	殤
残	殘
殒	殞
殓	殮
殚	殫
殡	殯
㱮	殨
㱩	殰
殴	毆
毁	毀
毂	轂
毕	畢
毙	斃
毡	氈
毵	毿
氇	氌
气	氣
氢	氫
氩	氬
氲	氳
汉	漢
汤	湯
汹	洶
沟	溝
没	沒
沣	灃
沤	漚
沥	瀝
沦	淪
沧	滄
沪	滬
泞	濘
注	註
泪	淚
泶	澩
泷	瀧
泸	瀘
泺	濼
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洒	灑
洼	窪
浃	浹
浅	淺
浆	漿
浇	澆
浈	湞
浊	濁
测	測
浍	澮
济	濟
浏	瀏
浐	滻
浑	渾
浒	滸
浓	濃
浔	潯
涛	濤
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涣	渙
涤	滌
润	潤
涧	澗
涨	漲
涩	澀
渊	淵
渌	淥
渍	漬
渎	瀆
渐	漸
渑	澠
渔	漁
渖	瀋
渗	滲
温	溫
湾	灣
湿	濕
溃	潰
溅	濺
溆	漵
滗	潷
滚	滾
滞	滯
滟	灧
滠	灄
满	滿
滢	瀅
滤	濾
滥	濫
滦	灤
滨	濱
滩	灘
滪	澦
漤	灠
潆	瀠
潇	瀟
潋	瀲
潍	濰
潜	潛
潴	瀦
澜	瀾
濑	瀨
濒	瀕
㲿	瀇
灏	灝
灭	滅
灯	燈
灵	靈
灶	竈
灾	災
灿	燦
炀	煬
炉	爐
炖	燉
炜	煒
炝	熗
点	點
炼	煉
炽	熾
烁	爍
烂	爛
烃	烴
烛	燭
烟	煙
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
烬	燼
热	熱
焕	煥
焖	燜
焘	燾
㶽	煱
煴	熅
㶶	燶
爱	愛
爷	爺
牍	牘
牦	氂
牵	牽
牺	犧
犊	犢
状	狀
犷	獷
犸	獁
犹	猶
狈	狽
狝	獮
狞	獰
独	獨
狭	狹
狮	獅
狯	獪
狰	猙
狱	獄
