瞘	眍
瞜	䁖
瞞	瞒
瞭	了
瞶	瞆
瞼	睑
矇	蒙
矓	眬
矚	瞩
矯	矫
硃	朱
硜	硁
硤	硖
硨	砗
硯	砚
碩	硕
碭	砀
碸	砜
確	确
碼	码
磑	硙
磚	砖
磣	碜
磧	碛
磯	矶
磽	硗
礆	硷
礎	础
礙	碍
礦	矿
礪	砺
礫	砾
礬	矾
礱	砻
祿	禄
禍	祸
禎	祯
禕	祎
禡	祃
禦	御
禪	禅
禮	礼
禰	祢
禱	祷
禿	秃
秈	籼
稅	税
稈	秆
稏	䅉
稟	禀
種	种
稱	称
穀	谷
穌	稣
積	积
穎	颖
穠	秾
穡	穑
穢	秽
穩	稳
穫	获
穭	稆
窩	窝
窪	洼
窮	穷
窯	窑
窵	窎
窶	窭
窺	窥
竄	窜
竅	窍
竇	窦
竈	灶
竊	窃
竪	竖
競	竞
筆	笔
筍	笋
筧	笕
筴	䇲
箋	笺
箏	筝
節	节
範	范
築	筑
篋	箧
篔	筼
篤	笃
篩	筛
篳	筚
簀	箦
簍	篓
簞	箪
簡	简
簣	篑
簫	箫
簹	筜
簽	签
簾	帘
籃	篮
籌	筹
籖	签
籙	箓
籜	箨
籟	籁
籠	笼
籩	笾
籪	簖
籬	篱
籮	箩
籲	吁
粵	粤
糝	糁
糞	粪
糧	粮
糰	团
糲	粝
糴	籴
糶	粜
糹	纟
糾	纠
紀	纪
紂	纣
約	约
紅	红
紆	纡
紇	纥
紈	纨
紉	纫
紋	纹
納	纳
紐	纽
紓	纾
純	纯
紕	纰
紖	纼
紗	纱
紘	纮
紙	纸
級	级
紛	纷
紜	纭
紝	纴
紡	纺
紬	䌷
細	细
紱	绂
紲	绁
紳	绅
紵	纻
紹	绍
紺	绀
紼	绋
紿	绐
絀	绌
終	终
組	组
絅	䌹
絆	绊
絎	绗
結	结
絕	绝
絛	绦
絝	绔
絞	绞
絡	络
絢	绚
給	给
絨	绒
絰	绖
統	统
絲	丝
絳	绛
絶	绝
絹	绢
綁	绑
綃	绡
綆	绠
綈	绨
綉	绣
綌	绤
綏	绥
綐	䌼
經	经
綜	综
綞	缍
綠	绿
綢	绸
綣	绻
綫	线
綬	绶
維	维
綯	绹
綰	绾
綱	纲
網	网
綳	绷
綴	缀
綵	䌽
綸	纶
綹	绺
綺	绮
綻	绽
綽	绰
綾	绫
綿	绵
緄	绲
緇	缁
緊	紧
緋	绯
緑	绿
緒	绪
緓	绬
緔	绱
緗	缃
緘	缄
緙	缂
線	线
緝	缉
緞	缎
締	缔
緡	缗
緣	缘
緦	缌
編	编
緩	缓
緬	缅
緯	纬
緱	缑
緲	缈
練	练
緶	缏
緹	缇
緻	致
縈	萦
縉	缙
縊	缢
縋	缒
縐	绉
縑	缣
縕	缊
縗	缞
縛	缚
縝	缜
縞	缟
縟	缛
縣	县
縧	绦
縫	缝
縭	缡
縮	缩
縱	纵
縲	缧
縳	䌸
縴	纤
縵	缦
縶	絷
縷	缕
縹	缥
總	总
績	绩
繃	绷
繅	缫
繆	缪
繒	缯
織	织
繕	缮
繚	缭
繞	绕
繡	绣
繢	缋
繩	绳
繪	绘
繫	系
繭	茧
繮	缰
繯	缳
繰	缲
繳	缴
繸	䍁
繹	绎
繼	继
繽	缤
繾	缱
繿	䍀
纈	缬
纊	纩
續	续
纍	累
纏	缠
纓	缨
纔	才
纖	纤
纘	缵
纜	缆
缽	钵
罈	坛
罌	罂
罰	罚
罵	骂
罷	罢
羅	罗
羆	罴
羈	羁
羋	芈
羥	羟
義	义
習	习
翹	翘
耬	耧
耮	耢
聖	圣
聞	闻
聯	联
聰	聪
聲	声
聳	耸
聵	聩
聶	聂
職	职
聹	聍
聽	听
聾	聋
肅	肃
脅	胁
脈	脉
脛	胫
脫	脱
脹	胀
腎	肾
腖	胨
腡	脶
腦	脑
腫	肿
腳	脚
腸	肠
膃	腽
膚	肤
膠	胶
膩	腻
膽	胆
膾	脍
膿	脓
臉	脸
臍	脐
臏	膑
臘	腊
臚	胪
臟	脏
臠	脔
臢	臜
臥	卧
臨	临
臺	台
與	与
興	兴
舉	举
舊	旧
艙	舱
艤	舣
艦	舰
艫	舻
艱	艰
艷	艳
芻	刍
苧	苎
茲	兹
荊	荆
莊	庄
莖	茎
莢	荚
莧	苋
華	华
萇	苌
萊	莱
萬	万
萵	莴
葉	叶
葒	荭
著	着
葤	荮
葦	苇
葯	药
葷	荤
蒓	莼
蒔	莳
蒞	莅
蒼	苍
蓀	荪
蓋	盖
蓮	莲
蓯	苁
蓴	莼
蓽	荜
蔔	卜
蔞	蒌
蔣	蒋
蔥	葱
蔦	茑
蔭	荫
蕁	荨
蕆	蒇
蕎	荞
蕒	荬
蕓	芸
蕕	莸
蕘	荛
蕢	蒉
蕩	荡
蕪	芜
蕭	萧
蕷	蓣
薀	蕰
薈	荟
薊	蓟
薌	芗
薔	蔷
薘	荙
薟	莶
薦	荐
薩	萨
薳	䓕
薴	苧
薺	荠
藉	借
藍	蓝
藎	荩
藝	艺
藥	药
藪	薮
藴	蕴
藶	苈
藹	蔼
藺	蔺
蘄	蕲
蘆	芦
蘇	苏
蘊	蕴
蘋	苹
蘚	藓
蘞	蔹
蘢	茏
蘭	兰
蘺	蓠
蘿	萝
虆	蔂
處	处
虛	虚
虜	虏
號	号
虧	亏
虯	虬
蛺	蛱
蛻	蜕
蜆	蚬
蝕	蚀
蝟	猬
蝦	虾
蝸	蜗
螄	蛳
螞	蚂
螢	萤
螮	䗖
螻	蝼
螿	螀
蟄	蛰
蟈	蝈
蟎	螨
蟣	虮
蟬	蝉
蟯	蛲
蟲	虫
蟶	蛏
蟻	蚁
蠅	蝇
蠆	虿
蠐	蛴
蠑	蝾
蠟	蜡
蠣	蛎
蠨	蟏
蠱	蛊
蠶	蚕
蠻	蛮
衆	众
衊	蔑
術	术
衕	同
衚	胡
衛	卫
衝	冲
衹	只
袞	衮
裊	袅
裏	里
補	补
裝	装
裡	里
製	制
複	复
褌	裈
褘	袆
褲	裤
褳	裢
褸	褛
褻	亵
襇	裥
襏	袯
襖	袄
襝	裣
襠	裆
襤	褴
襪	袜
襬	䙓
襯	衬
襲	袭
覆	复
見	见
覎	觃
規	规
覓	觅
視	视
覘	觇
覡	觋
覥	觍
覦	觎
親	亲
覬	觊
覯	觏
覲	觐
覷	觑
覺	觉
覽	览
覿	觌
觀	观
觴	觞
觶	觯
觸	触
訁	讠
訂	订
訃	讣
計	计
訊	讯
訌	讧
討	讨
訐	讦
訒	讱
訓	训
訕	讪
訖	讫
託	讬
記	记
訛	讹
訝	讶
訟	讼
訢	䜣
訣	诀
訥	讷
訩	讻
訪	访
設	设
許	许
訴	诉
訶	诃
診	诊
註	注
詁	诂
詆	诋
詎	讵
詐	诈
詒	诒
詔	诏
評	评
詖	诐
詗	诇
詘	诎
詛	诅
詞	词
詠	咏
詡	诩
詢	询
詣	诣
試	试
詩	诗
詫	诧
詬	诟
詭	诡
詮	诠
詰	诘
話	话
該	该
詳	详
詵	诜
詼	诙
詿	诖
誄	诔
誅	诛
誆	诓
誇	夸
誌	志
認	认
誑	诳
誒	诶
誕	诞
誘	诱
誚	诮
語	语
誠	诚
誡	诫
誣	诬
誤	误
誥	诰
誦	诵
誨	诲
說	说
説	说
誰	谁
課	课
誶	谇
誹	诽
誼	谊
誾	訚
調	调
諂	谄
諄	谆
談	谈
諉	诿
請	请
諍	诤
諏	诹
諑	诼
諒	谅
論	论
諗	谂
諛	谀
諜	谍
諝	谞
諞	谝
諢	诨
諤	谔
諦	谛
諧	谐
諫	谏
諭	谕
諮	谘
諱	讳
諳	谙
諶	谌
諷	讽
諸	诸
諺	谚
諼	谖
諾	诺
謀	谋
謁	谒
謂	谓
謄	誊
謅	诌
謊	谎
謎	谜
謐	谧
謔	谑
謖	谡
謗	谤
謙	谦
謚	谥
講	讲
謝	谢
謠	谣
謡	谣
謨	谟
謫	谪
謬	谬
謭	谫
謳	讴
謹	谨
謾	谩
譅	䜧
證	证
譎	谲
譏	讥
譖	谮
識	识
譙	谯
譚	谭
譜	谱
譫	谵
譯	译
議	议
